CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
13187	13899	2	0.7345	-14.016
12936	13366	2	0.7044	-18.011
11164	13193	2	0.7156	-13.849
11201	11329	2	0.7107	-43.990
12696	12705	2	0.8531	1.003
10752	11934	2	0.7554	-13.012
11420	12541	2	0.7171	15.997
13424	13425	2	0.7287	-1.040
10752	12877	2	0.7753	1.003
12451	12614	2	0.8065	-0.037
11263	13195	2	0.7008	15.028
12705	13187	2	0.7256	-14.016
11930	12874	2	0.8637	13.013
10752	10756	2	0.7678	1.003
12709	13085	2	0.7085	-1.049
13379	13382	2	0.8332	1.003
12936	12942	2	0.7152	-14.016
12112	13379	2	0.7389	-15.019
13888	13926	2	0.7795	1.040
11164	12877	2	0.7492	0.167
13358	13729	2	0.7372	0.000
11399	12747	2	0.7145	-14.016
11441	12936	2	0.8292	-0.073
12936	13729	2	0.7107	0.000
11399	13366	2	0.7226	-18.011
12874	13195	2	0.7146	3.018
11263	11309	2	0.7581	-0.967
13888	13899	2	0.834	1.003
12696	12736	2	0.9005	0.920
13358	13787	2	0.768	-0.105
13522	13787	2	0.7298	-0.000
12877	13193	2	0.8469	-14.016
11891	13379	2	0.7684	-15.019
13088	13187	2	0.7008	-13.979
11263	11934	2	0.7761	0.000
12285	13860	2	0.7586	-13.980
11399	13787	2	0.7242	-0.106
11891	13899	2	0.7947	-14.016
8637	9462	4	0.8551	-18.011
8080	9463	4	0.8769	-1.003
6025	8970	4	0.826	18.010
9913	9914	4	0.8821	-18.010
7976	7979	4	0.805	146.058
7946	8255	4	0.9295	163.055
11226	11234	4	0.814	-1.003
7825	8072	4	0.8384	0.000
7695	8259	4	0.8152	18.882
8689	10662	4	0.8075	-1.003
7072	9913	4	0.8698	0.000
7168	8324	4	0.9215	0.000
7959	8232	4	0.8737	-132.042
8845	9326	4	0.8525	0.000
8335	10885	4	0.8126	0.000
8324	8637	4	0.8274	18.011
5774	7676	4	0.8225	0.000
8157	8942	4	0.8035	-2.016
8080	13555	4	0.8277	29.974
8927	13798	4	0.858	2.016
7498	13798	4	0.8053	-2.016
7924	8250	4	0.8413	-29.974
8002	9913	4	0.8601	18.010
8012	9919	4	0.8044	-149.068
8704	8742	4	0.8203	18.011
8249	8255	4	0.8391	-146.058
6024	8070	4	0.8011	-18.010
7577	8010	4	0.883	0.000
8250	9917	4	0.8566	-0.000
8692	11236	4	0.8588	161.049
8465	10662	4	0.8049	2.016
8259	9462	4	0.8959	-18.010
8637	8638	4	0.8055	-18.011
8691	10885	4	0.8108	1.003
7694	8259	4	0.8647	18.010
6025	8884	4	0.82	-15.995
4931	6777	4	0.8337	-0.000
7976	8037	4	0.8366	-12.000
8927	8968	4	0.8209	-0.922
8567	9247	4	0.8111	-1.979
7825	8232	4	0.8392	30.010
7984	8232	4	0.9077	1.004
7577	10070	4	0.8465	0.000
7980	8105	4	0.8154	162.016
7168	7695	4	0.9399	-0.871
7836	8091	4	0.8619	264.085
7072	8691	4	0.8163	-1.003
6777	10885	4	0.8022	-2.016
8927	9340	4	0.859	1.013
7946	7959	4	0.8275	163.055
13549	13617	4	0.8841	-0.868
7854	9915	4	0.8126	36.021
8637	9247	4	0.8009	-18.011
7960	8255	4	0.904	264.084
4931	11226	4	0.8026	15.995
10659	11234	4	0.8	-1.003
7694	8567	4	0.8179	1.979
8091	8255	4	0.9364	30.010
8567	10885	4	0.8201	2.016
7168	7694	4	0.9569	0.000
8070	8942	4	0.8778	0.000
9247	9463	4	0.8925	-1.003
8335	13078	4	0.8201	15.995
9443	11238	4	0.8086	0.000
7168	7434	4	0.8175	2.016
